Country Name,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Kosovo,53.0,28.0,67.4,66.3,54.1,39.2,92.6,76.5,94.0,75.0,61.0,78.4,76.2,65.0,30.0,4.4,10.0,10.0,23.3,28.003666666666664,1.8,20.942,4.0,3.5,11551.58,30.5,1.056,3590.0,17.005
Kuwait,79.0,8.0,63.2,57.1,47.0,46.0,97.7,22.4,99.6,61.3,62.2,73.2,76.4,55.0,60.0,4.3,0.0,15.0,1.4,50.87233333333333,4.574,306.441,1.74,0.5,67000.19,2.1,0.7,345.5416578354749,14.8
Kyrgyz Republic,81.0,16.0,62.9,53.6,31.3,32.0,94.1,58.5,66.7,73.6,79.6,76.4,79.2,60.0,50.0,2.9,10.0,10.0,19.8,37.19266666666667,6.382,24.531,3.459,4.1,3843.58,7.2,1.543,47.0,56.025
Laos,129.0,31.0,55.5,42.5,37.3,32.0,87.0,86.6,53.3,54.3,58.6,76.8,82.0,35.0,20.0,1.5,24.0,24.0,12.0,21.109666666666666,6.777,53.701,6.5,7.0,7924.64,0.6,2.04,1319.61,62.974
Latvia,32.0,17.0,71.9,72.3,51.1,46.4,76.9,58.3,96.5,77.0,72.4,80.2,86.4,85.0,60.0,1.8,31.4,20.0,30.4,37.29966666666667,1.934,57.84,4.77,3.3,29901.29,7.9,2.554,879.3777074800222,37.578
Lebanon,157.0,12.0,51.7,44.6,30.8,25.0,90.8,72.5,0.0,45.6,47.8,75.6,77.4,60.0,50.0,3.8,20.0,17.0,15.254559716643643,30.259333333333334,6.094,89.478,0.25,0.9,14684.07,6.2,6.068,2879.826,150.92
Lesotho,138.0,26.0,54.5,45.2,47.0,29.6,73.0,34.4,60.3,52.8,58.8,75.7,82.2,55.0,40.0,1.4,35.0,25.0,29.108378280149523,46.75266666666666,2.034,6.906,1.474,1.7,3394.49,23.6,5.2,39.329623115027594,38.982
Liberia,165.0,40.0,49.0,31.1,37.9,23.8,86.1,65.5,59.7,48.2,38.2,62.1,60.6,55.0,20.0,12.2,25.0,25.0,11.9,33.89566666666666,4.463,6.327,1.242,0.6,1417.61,2.0,23.429,122.2,40.541
Lithuania,16.0,9.0,76.7,77.9,62.1,67.4,84.9,66.0,97.4,71.9,76.5,79.7,86.4,80.0,70.0,1.8,20.0,15.0,29.8,33.66,2.785,97.006,3.446,3.1,34825.79,6.0,2.531,905.0744225026264,35.908
Luxembourg,19.0,10.0,75.8,86.4,74.4,90.3,64.1,45.4,99.0,66.8,45.3,76.4,86.4,95.0,80.0,1.8,42.0,18.0,38.7,42.66075660013333,0.602,64.237,2.96,3.0,106704.93,5.5,2.018,-5615.0332274932425,21.809
Macau,35.0,9.0,70.3,60.0,60.0,33.5,75.0,89.8,99.9,60.0,50.0,70.0,90.0,85.0,70.0,0.0,12.0,39.0,28.93623372810567,18.478666666666665,0.662,77.334,4.7,-1.8,116807.87,2.0,3.005,1113.4083451119914,0.0
North Macedonia,41.0,23.0,69.5,62.5,42.7,42.2,91.5,71.0,87.7,80.6,67.0,77.7,86.2,65.0,60.0,1.9,10.0,10.0,25.5,31.081999999999997,2.077,32.627,2.665,2.6,15709.49,21.6,1.458,737.1286252198445,39.515
Madagascar,99.0,8.0,60.5,45.6,39.6,25.0,90.7,91.5,90.6,47.3,44.6,72.7,73.6,55.0,50.0,5.7,20.0,20.0,11.5,16.797666666666668,26.326,42.917,5.197,4.0,1630.21,1.7,7.291,349.09643050903367,39.659
Malawi,152.0,34.0,52.8,43.1,42.1,24.8,79.0,71.7,23.6,41.9,62.8,69.1,75.4,50.0,50.0,4.8,30.0,30.0,17.28792384017685,30.712666666666667,19.721,23.653,3.17,3.6,1199.4,5.4,9.215,101.61493206645426,61.295
Malaysia,24.0,6.0,74.7,86.5,74.6,49.4,85.7,84.6,80.2,87.8,74.5,81.6,82.0,60.0,50.0,4.0,25.0,25.0,13.6,22.628333333333334,32.385,999.397,4.724,5.2,30859.87,3.4,0.969,8090.975011957485,56.239
Maldives,119.0,27.0,56.5,48.5,31.7,39.2,95.8,67.9,42.9,78.7,70.6,77.0,61.0,35.0,30.0,12.0,0.0,0.0,20.5,32.717666666666666,0.366,7.956,6.992,6.3,21759.91,6.1,1.473,551.8331919931661,61.469
Mali,126.0,20.0,55.9,36.1,32.7,20.7,69.2,85.8,73.6,49.2,52.2,81.6,65.0,65.0,40.0,10.0,40.0,35.0,16.1,21.786666666666665,18.542,44.203,4.9,5.9,2383.96,9.6,1.734,365.9171910453227,36.618
Malta,42.0,22.0,69.5,70.5,49.6,55.1,64.8,60.0,95.9,68.0,61.1,77.1,86.4,85.0,60.0,1.8,35.0,35.0,32.7,36.49633333333333,0.467,21.298,6.392,7.6,45605.88,4.6,1.741,4061.189343594707,45.369
Mauritania,130.0,21.0,55.3,32.5,20.8,21.9,80.9,76.4,85.9,61.7,51.3,79.6,62.6,50.0,40.0,8.7,30.0,25.0,19.7,28.028000000000002,4.546,18.138,3.006,2.8,3990.21,10.3,3.052,70.7550265279062,83.938
Mauritius,21.0,1.0,74.9,75.8,62.6,53.3,91.5,82.1,79.3,82.5,60.2,73.8,88.2,80.0,70.0,0.9,15.0,15.0,20.0,24.439000000000004,1.266,29.994,3.76,3.7,23699.48,6.9,3.231,371.5181859207634,65.199
Mexico,67.0,11.0,66.0,58.3,34.7,36.7,76.1,79.3,87.5,67.0,58.4,70.9,87.6,75.0,60.0,1.2,35.0,30.0,16.2,26.284666666666666,124.738,2569.806,1.994,2.6,20601.66,3.3,4.898,31604.294,53.565
Micronesia,156.0,38.0,52.0,30.1,26.5,22.3,92.9,0.0,99.2,56.9,78.2,82.2,70.8,35.0,30.0,7.1,10.0,21.0,13.0,63.242333333333335,0.102,0.356,2.069,1.6,3482.32,16.2,2.0,20.2,20.155
Moldova,87.0,40.0,62.0,60.5,31.7,37.2,86.1,71.6,96.2,68.1,37.0,72.0,78.0,55.0,50.0,3.5,12.0,12.0,33.2,30.758333333333336,3.544,25.888,4.0,3.6,7304.5,3.4,3.059,227.73,27.113
Mongolia,127.0,30.0,55.9,50.3,23.0,36.9,87.4,66.6,9.3,63.6,75.7,74.2,74.0,50.0,60.0,5.5,10.0,25.0,23.2,33.39,3.238,43.544,6.949,4.7,13446.54,6.3,7.65,2173.741,73.3
Montenegro,91.0,42.0,61.5,59.1,55.3,47.5,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75.0,50.0,3.1,9.0,9.0,36.0,47.55833333333334,0.624,11.891,4.501,3.5,19043.32,15.5,2.604,489.62452342449745,72.073
Morocco,78.0,7.0,63.3,66.3,48.0,39.2,71.8,72.8,67.2,70.4,33.0,77.0,78.6,65.0,70.0,3.2,38.0,30.0,21.8,30.131,35.22,314.605,3.057,3.1,8932.58,9.0,1.914,3640.383119719585,65.177
Mozambique,160.0,37.0,50.5,34.9,31.7,23.2,74.1,69.6,40.3,55.3,41.7,72.0,78.0,35.0,50.0,3.5,32.0,32.0,23.182974407524277,31.824666666666662,30.339,39.181,3.3,5.0,1291.45,3.2,3.911,2711.125,100.425
Namibia,96.0,7.0,60.9,58.9,58.5,46.0,65.7,58.1,28.7,65.6,84.9,75.9,83.2,65.0,40.0,0.9,37.0,34.0,30.109010029714128,37.35766666666667,2.414,27.106,-0.087,2.4,11228.75,23.1,4.294,195.80109929469225,47.051
Nepal,139.0,34.0,54.2,40.7,32.0,31.5,83.4,77.9,98.1,61.6,53.7,71.2,60.4,10.0,30.0,12.3,25.0,25.0,20.3,27.162333333333333,29.631,86.073,6.29,4.8,2904.86,1.3,4.15,160.77113834345002,30.438
Netherlands,14.0,8.0,77.0,90.0,73.9,90.1,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90.0,80.0,1.8,52.0,25.0,38.8,42.7324320017,17.19,969.228,2.536,2.2,56383.25,3.9,1.602,69658.51816003495,54.437
New Zealand,3.0,3.0,84.1,93.3,79.1,93.9,71.0,57.8,98.3,90.4,86.7,87.0,92.2,80.0,80.0,1.4,33.0,28.0,32.0,37.49528712586667,4.929,197.827,2.991,3.4,40135.41,4.5,1.647,1403.7439630239542,29.388
Nicaragua,115.0,23.0,57.2,33.5,19.5,24.3,76.3,77.5,87.2,55.1,55.5,71.5,75.4,60.0,50.0,2.3,30.0,30.0,23.8,27.408,6.288,35.733,-4.0,3.0,5682.74,4.5,4.965,359.1999999999999,37.167
Niger,137.0,25.0,54.7,45.6,42.6,33.4,76.7,79.0,44.7,55.4,47.9,74.8,61.2,55.0,40.0,11.9,35.0,30.0,14.4,26.468666666666664,19.339,23.531,5.173,5.4,1216.76,0.3,3.005,460.1416441269673,55.139
Nigeria,116.0,14.0,57.2,38.1,32.2,22.3,85.1,96.2,64.1,54.7,84.0,61.7,62.4,45.0,40.0,11.3,24.0,30.0,3.6,11.195,193.875,1168.515,1.937,2.0,6027.17,6.0,12.094,1997.4851649483328,28.416
Norway,28.0,15.0,73.4,84.3,82.8,95.6,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75.0,60.0,3.1,47.8,22.0,38.2,49.79479121053333,5.324,395.867,1.399,1.7,74356.07,3.9,2.765,-18214.694128496772,36.751
Oman,75.0,6.0,63.6,66.4,66.2,64.6,98.4,36.2,14.8,74.6,56.9,78.4,81.6,65.0,60.0,1.7,0.0,12.0,4.2,46.13333333333333,4.261,198.486,2.087,2.4,46583.97,3.1,0.9,4190.505,50.929
Pakistan,135.0,32.0,54.8,48.3,43.2,29.7,80.4,86.8,40.4,54.9,41.3,72.5,64.8,55.0,40.0,10.1,30.0,30.0,12.5,20.994,200.96,1141.403,5.227,4.7,5679.75,3.0,3.925,2352.0,72.134
Panama,55.0,9.0,67.2,58.8,30.0,37.2,85.3,85.7,91.2,70.8,43.3,79.4,79.2,75.0,70.0,5.4,25.0,25.0,14.7,21.795333333333335,4.159,106.775,3.9,5.0,25674.51,3.9,0.762,5548.5,39.394
Papua New Guinea,108.0,23.0,58.4,54.9,48.4,29.7,71.5,86.4,76.4,58.4,69.6,70.7,79.8,25.0,30.0,2.6,42.0,30.0,13.7,21.316333333333333,8.426,30.855,0.001,5.0,3662.03,2.4,4.74,335.1868229725773,36.912
Paraguay,80.0,15.0,63.0,44.7,26.4,29.6,96.1,88.6,98.0,60.9,29.0,72.5,75.4,75.0,60.0,4.8,10.0,10.0,13.8,19.523333333333337,7.053,94.477,3.723,4.2,13395.3,4.7,3.972,453.917,21.597
Peru,51.0,8.0,67.9,54.9,30.6,33.5,80.8,86.4,89.0,67.1,62.9,86.3,88.4,75.0,60.0,0.8,30.0,28.0,15.3,21.30033333333333,32.162,457.483,3.994,3.2,14224.26,2.8,1.317,6175.066,26.755
Philippines,70.0,14.0,64.5,54.6,34.2,38.7,76.7,87.9,96.3,59.5,57.4,66.9,81.6,60.0,60.0,1.7,35.0,30.0,14.2,20.118,106.6,952.569,6.202,6.4,8935.92,2.5,5.212,6456.248324796039,39.602
Poland,46.0,25.0,69.1,63.1,42.8,64.6,74.7,48.8,92.2,62.6,62.0,82.0,86.4,80.0,70.0,1.8,32.0,19.0,33.9,41.294313704800004,37.977,1212.925,5.099,4.0,31938.66,3.7,1.6,11476.249543153954,48.364
Portugal,56.0,29.0,67.0,75.4,65.6,68.9,59.6,39.8,74.4,76.5,44.1,83.0,86.4,70.0,60.0,1.8,48.0,23.0,34.7,44.81313271126667,10.287,329.241,2.08,1.9,32006.43,6.9,1.168,4894.754423446925,121.435
Qatar,31.0,3.0,72.3,66.9,58.7,64.6,99.8,64.6,93.7,71.1,65.9,80.6,81.6,60.0,60.0,4.2,0.0,0.0,4.9,34.342000000000006,2.719,354.762,2.184,2.7,130475.07,0.1,0.223,-2186.263736263736,48.35
Romania,38.0,21.0,69.7,72.5,56.1,55.1,90.3,70.4,85.6,58.6,63.0,78.1,86.4,70.0,50.0,1.8,10.0,16.0,24.7,31.431,19.524,516.336,4.127,4.6,26446.74,4.3,4.631,5887.726484023655,36.602
Russia,94.0,43.0,61.0,56.8,44.4,41.3,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30.0,30.0,3.6,13.0,20.0,24.2,34.73566666666667,143.965,4213.403,2.334,0.5,29266.86,4.7,2.878,13332.4,13.953
Rwanda,33.0,2.0,70.9,76.5,78.3,57.6,79.2,79.8,86.7,60.3,81.8,79.8,70.4,60.0,40.0,7.3,30.0,30.0,16.6,25.97066666666667,12.019,27.405,8.575,7.4,2280.09,1.0,1.364,398.47080195117474,40.658
Saint Lucia,50.0,7.0,68.2,69.8,62.6,41.8,76.9,80.6,83.8,76.7,66.4,82.0,73.2,65.0,40.0,5.9,30.0,30.0,22.5,25.462,0.177,2.536,0.988,1.8,14354.8,20.9,1.931,135.13555555555556,66.848
Saint Vincent and the Grenadines,59.0,10.0,66.8,50.5,62.6,46.1,72.4,73.7,89.0,75.8,73.3,80.8,67.2,70.0,40.0,8.9,30.0,33.0,27.8,29.60166666666667,0.11,1.319,1.959,0.9,11956.34,19.8,2.388,100.46962962962961,73.063
Samoa,86.0,18.0,62.1,60.5,31.7,31.5,79.6,62.5,94.6,76.6,78.8,79.5,64.6,55.0,30.0,10.2,27.0,27.0,24.1,35.335,0.199,1.174,0.724,2.7,5889.65,8.3,3.672,16.722194737330327,50.205
São Tomé and Príncipe,125.0,19.0,56.2,41.0,26.5,37.4,88.3,77.1,73.0,64.8,43.4,68.1,64.2,60.0,30.0,10.4,20.0,25.0,12.1,27.641333333333336,0.217,0.723,3.0,4.3,3324.01,13.3,7.864,17.4666666666667,81.252
Saudi Arabia,83.0,9.0,62.4,64.6,72.3,49.6,99.8,61.8,19.3,66.6,63.3,81.0,75.4,45.0,50.0,4.8,2.5,2.5,3.3848362365333715,35.701,33.203,1857.525,2.215,2.2,55943.86,5.9,2.483,3208.811,19.078
Senegal,110.0,13.0,58.0,52.4,39.8,40.6,70.2,84.4,75.2,50.4,38.1,79.7,65.4,60.0,40.0,12.3,40.0,30.0,22.0,22.807666666666666,16.302,59.521,6.156,6.5,3651.16,6.5,0.465,629.3124479812765,64.447
Serbia,65.0,35.0,66.0,55.4,46.8,44.0,83.7,49.7,94.1,72.6,66.9,80.7,78.0,70.0,50.0,6.0,10.0,15.0,36.1,40.93333333333333,6.993,122.759,4.354,2.0,17555.15,13.5,1.96,4125.50195351692,54.342
Seychelles,72.0,4.0,64.3,68.3,46.4,53.3,76.8,58.9,93.2,65.3,62.8,78.6,82.6,55.0,30.0,3.7,15.0,33.0,31.673511503821057,37.00633333333334,0.095,2.913,3.597,4.6,30505.03,3.0,3.699,123.931,58.17
Sierra Leone,168.0,43.0,48.0,40.7,39.4,21.8,87.5,83.5,9.8,50.1,29.7,64.2,69.4,60.0,20.0,10.3,15.0,30.0,11.1,23.429333333333332,7.571,12.265,3.728,-0.4,1620.15,4.3,16.865,599.0,71.307
Singapore,1.0,1.0,89.4,96.8,92.9,92.4,90.3,91.1,80.0,92.8,90.9,85.6,94.8,85.0,80.0,0.1,22.0,17.0,14.1,17.19066666666667,5.639,565.811,3.231,3.3,100344.68,3.8,0.439,77646.12555974022,108.341
Slovakia,60.0,32.0,66.8,73.1,41.7,49.7,78.5,50.2,92.6,55.3,52.6,75.9,86.4,75.0,70.0,1.8,25.0,21.0,32.9,40.75774415593333,5.443,191.216,4.125,3.5,35129.79,6.8,2.525,475.1012169643173,48.847
Slovenia,52.0,27.0,67.8,76.5,48.6,67.4,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70.0,50.0,1.8,50.0,17.0,36.0,43.61951306660001,2.068,75.976,4.491,3.5,36745.89,5.5,1.739,1418.6817596997132,68.491
Solomon Islands,150.0,36.0,52.9,54.6,53.7,33.5,65.6,34.2,76.6,67.7,72.0,84.3,48.0,15.0,30.0,18.5,40.0,30.0,30.6,46.830999999999996,0.627,1.406,3.386,3.0,2241.96,1.8,0.992,11.688087978101708,12.108
South Africa,106.0,12.0,58.8,58.4,38.0,46.6,63.7,67.4,64.0,62.0,58.8,75.9,75.8,45.0,50.0,4.6,45.0,28.0,28.6,32.95033333333333,57.726,789.423,0.787,1.1,13675.34,27.0,4.62,5333.99894720227,56.71
Spain,58.0,31.0,66.9,74.9,51.8,55.1,62.1,48.3,62.6,66.8,57.7,82.0,86.4,85.0,70.0,1.8,45.0,25.0,33.7,41.513671237333334,46.449,1864.419,2.529,2.7,40138.82,15.5,1.675,43591.1660902513,97.016
Sri Lanka,112.0,24.0,57.4,47.7,39.2,34.7,84.8,88.9,39.3,76.5,58.6,71.1,67.6,40.0,40.0,8.7,24.0,28.0,12.6,19.229666666666663,21.688,290.561,3.02,4.2,13397.47,4.4,4.27,1610.544,84.065
Sudan,173.0,44.0,45.0,33.7,20.8,25.5,86.1,94.5,12.4,53.5,60.0,77.0,52.0,5.0,20.0,14.0,10.0,35.0,7.961450792565102,13.566666666666668,41.985,177.678,-2.131,1.8,4232.0,12.9,63.293,1135.787,163.21
Suriname,163.0,29.0,49.5,45.6,19.5,36.9,70.5,74.8,10.3,48.2,71.9,76.1,69.8,40.0,30.0,7.6,38.0,36.0,14.6,28.962333333333333,0.591,8.927,2.0,-1.0,15105.32,7.6,6.939,190.233,69.604
Sweden,22.0,12.0,74.9,88.8,79.9,91.4,43.6,25.8,97.0,85.3,53.8,81.2,86.4,85.0,80.0,1.8,57.0,21.4,44.0,49.721775443599995,10.23,542.037,2.342,2.8,52984.11,6.4,2.035,11148.090542213306,39.01
Switzerland,5.0,1.0,82.0,87.4,81.5,90.1,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85.0,90.0,1.7,11.5,8.5,28.5,34.006679463733335,8.484,548.483,2.531,1.9,64649.06,4.9,0.934,-87212.09350840595,40.508
Taiwan ,11.0,5.0,77.1,86.9,70.1,68.9,75.0,90.5,91.0,93.9,60.3,82.7,86.0,60.0,60.0,2.0,45.0,20.0,8.9,17.757333333333335,23.603,1251.487,2.63,2.4,53023.1,3.7,1.456,6998.0,34.995
Tajikistan,155.0,37.0,52.2,49.1,50.0,32.0,91.8,62.3,26.0,65.9,47.7,71.0,75.0,25.0,30.0,5.0,13.0,15.0,20.6,34.0,9.107,31.108,7.0,6.7,3415.78,10.9,3.848,316.735370939323,47.883
Tanzania,89.0,6.0,61.7,41.9,43.4,32.5,80.6,91.6,92.9,45.9,66.4,72.2,67.8,55.0,50.0,8.6,30.0,30.0,11.826564971204496,16.782666666666668,51.046,175.785,6.585,6.6,3443.66,1.9,3.509,1104.8,35.993
Thailand,43.0,11.0,69.4,59.5,48.0,43.4,80.7,85.9,96.4,83.0,63.7,74.0,83.0,55.0,60.0,3.5,35.0,20.0,17.6,21.657,67.793,1320.364,4.129,3.1,19476.48,0.7,1.064,10492.553,42.076
Timor-Leste,171.0,40.0,45.9,45.2,12.6,32.5,96.3,5.3,19.9,64.0,58.9,76.5,75.0,45.0,20.0,2.5,10.0,10.0,13.1,56.17133333333334,1.269,6.653,0.8,1.9,5241.81,3.0,2.294,47.926,5.44
Togo,140.0,27.0,54.1,41.6,31.7,31.2,67.5,78.6,59.4,55.0,46.9,79.5,63.2,65.0,30.0,13.4,45.0,27.0,22.2,26.686666666666667,7.994,13.954,4.748,5.3,1745.57,1.7,0.727,101.98119748696283,74.602
Tonga,107.0,22.0,58.8,60.9,26.5,44.2,85.2,42.8,95.2,75.0,69.8,71.4,74.0,40.0,20.0,5.5,20.0,25.0,21.3,43.65033333333334,0.101,0.616,1.814,3.0,6110.54,1.0,3.863,8.2,49.2
Trinidad and Tobago,109.0,21.0,58.3,56.6,42.1,37.4,82.6,66.5,15.9,67.3,76.0,77.4,67.8,60.0,50.0,8.6,25.0,25.0,22.2,33.396,1.375,44.357,0.314,-1.5,32253.75,2.8,1.062,-436.143,45.31
Tunisia,128.0,10.0,55.8,56.4,43.6,39.7,74.2,73.1,38.8,78.1,49.8,73.9,66.4,45.0,30.0,9.3,35.0,30.0,21.4,29.953999999999997,11.659,144.244,2.479,1.9,12371.69,15.5,7.308,1035.940563760215,76.978
Turkey,71.0,36.0,64.4,57.4,53.7,44.6,76.7,64.1,86.1,67.0,49.2,66.1,78.0,70.0,60.0,3.5,35.0,22.0,24.9,34.574333333333335,82.004,2292.511,2.567,4.9,27956.09,10.9,16.332,12944.0,29.052
Turkmenistan,170.0,39.0,46.5,20.1,20.0,21.4,95.9,93.1,94.5,30.0,20.0,68.7,74.2,10.0,10.0,2.9,10.0,8.0,15.6,15.118,5.77,112.666,6.24,7.1,19527.24,3.8,13.562,1985.147,29.272
Uganda,102.0,10.0,59.5,45.6,36.9,21.4,80.3,88.4,64.3,46.0,83.1,78.0,75.4,55.0,40.0,7.3,30.0,30.0,13.1,19.673666666666666,38.823,96.963,6.184,4.7,2497.56,1.7,2.625,1337.1281579790775,42.152
Ukraine,134.0,45.0,54.9,47.5,42.2,37.9,81.1,47.2,83.9,61.3,48.3,63.0,81.2,35.0,30.0,1.9,20.0,18.0,34.2,41.958333333333336,42.047,390.336,3.291,-1.6,9283.43,9.4,10.947,2355.0,63.856
United Arab Emirates,18.0,1.0,76.2,80.3,84.6,64.6,99.2,72.1,94.1,78.6,81.3,79.6,80.4,40.0,60.0,4.8,0.0,0.0,9.2,30.503333333333334,10.43,723.676,1.692,3.0,69381.71,2.6,3.08,10385.286,18.67
United Kingdom,7.0,3.0,79.3,92.2,82.7,89.9,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80.0,80.0,1.8,45.0,20.0,33.3,41.029265191633336,66.466,3037.787,1.398,2.1,45704.62,4.0,2.478,64486.77926305398,86.857
United States,17.0,3.0,76.6,81.8,83.7,77.2,74.6,56.5,54.3,83.3,87.9,75.5,79.8,85.0,80.0,2.6,37.0,21.0,27.1,38.076193771633335,327.352,20494.05,2.857,2.4,62605.59,3.9,2.435,251814.0,105.773
Uruguay,47.0,5.0,69.1,72.0,59.8,73.5,75.2,66.5,72.3,73.6,71.0,72.7,77.4,85.0,30.0,6.3,30.0,25.0,30.9,33.39366666666667,3.506,81.599,2.1,2.0,23274.14,8.0,7.607,-626.4539034710438,69.99
Uzbekistan,114.0,26.0,57.2,59.1,34.2,28.2,91.6,74.7,98.9,72.6,59.9,59.9,67.6,20.0,20.0,8.7,22.0,7.5,17.3,29.022000000000002,32.657,250.328,5.0,7.8,7665.45,5.2,17.899,412.409,23.539
Vanuatu,98.0,19.0,60.7,68.3,36.1,37.4,97.1,61.1,78.4,51.8,54.6,74.6,63.4,65.0,40.0,8.3,0.0,0.0,17.1,36.004666666666665,0.285,0.816,3.2,2.7,2861.83,5.4,2.837,38.0,50.483
Venezuela,179.0,32.0,25.2,10.1,12.6,14.6,72.8,66.3,0.0,30.8,27.7,0.0,58.0,0.0,10.0,11.0,34.0,34.0,20.2,33.508,29.187,277.8,-18.0,-12.2,8800.0,8.4,929789.5,956.0,175.618
Vietnam,105.0,21.0,58.8,52.6,40.1,33.8,79.5,75.9,58.0,65.6,62.5,68.2,79.6,40.0,50.0,2.7,35.0,22.0,18.6,28.339333333333332,94.575,710.307,7.076,6.6,7510.53,1.9,3.54,15500.0,57.542
Zambia,147.0,31.0,53.5,45.2,31.3,28.4,73.2,81.7,18.4,66.4,47.0,72.2,72.6,55.0,50.0,6.2,35.0,35.0,15.184870619405496,24.702333333333332,17.773,72.932,3.477,3.6,4103.5,7.2,7.043,568.95,72.361
Zimbabwe,174.0,45.0,43.1,33.7,28.3,18.9,62.3,88.0,36.2,39.1,43.1,62.8,70.0,25.0,10.0,5.0,51.5,25.0,22.1,19.978333333333335,15.263,42.547,3.448,2.6,2787.63,4.9,10.607,744.63719918,29.781
